MPG,FGA,3PM,FTM,Team,FTA,#,FG%,BPG
40.2,60.1,8.2,12.8,BC Ulcinjska Rivijera,17.5,477,0.419,1.4
48.3,81.9,6.6,17.6,Meralco Bolts,26.1,14,0.404,3.3
40.1,75.8,4.4,8.2,Samadicino-Academia,15.1,569,0.335,2.9
40.2,62.7,7.5,17.7,Vila Velha,22.5,447,0.429,1.4
40.4,62.4,8.2,14.8,Universidad Catolica De Murcia CB,19.3,194,0.45,1.9
40.0,72.0,9.4,12.6,Sporting Al Riyadi Beirut,17.9,745,0.468,4.3
40.1,66.6,7.0,13.6,Atomeromu SE,18.9,528,0.492,2.5
40.3,63.1,8.7,15.9,Ratiopharm Ulm,20.1,381,0.464,3.1
40.0,61.9,7.4,12.0,Forca Lleida,16.8,678,0.445,2.5
40.3,63.4,8.3,14.1,Novipiu Casale Monferrato,19.0,361,0.435,2.2
40.4,66.7,6.5,16.2,Gaiteros,23.3,260,0.459,2.7
40.4,66.2,7.6,12.5,Lappeenrannan NMKY,17.5,181,0.451,1.9
40.7,58.3,5.6,15.4,Fileni BPA Jesi,20.8,99,0.48,2.9
39.9,60.5,5.5,12.8,Arkadia Traiskirchen Lions,18.1,775,0.458,1.9
40.3,61.1,7.4,13.5,Darussafaka Dogus Istanbul,19.3,370,0.473,2.3
40.3,62.8,7.3,14.7,Basquete Cearense,19.5,319,0.462,2.7
40.9,59.5,7.7,16.6,KK Tajfun Sentjur,22.6,73,0.445,2.4
40.2,58.3,7.4,14.7,SL Takovo Leotar,19.5,420,0.465,1.3
48.3,78.9,6.9,16.2,Tianjin Ronggang,23.4,11,0.447,5.2
40.3,70.9,10.1,15.4,Ungmennafelagio Snaefell,21.1,274,0.476,2.4
40.5,62.4,7.8,14.3,Telekom Baskets Bonn,21.1,179,0.467,2.7
40.7,56.9,7.4,14.0,Elektra Sostanj,18.9,101,0.437,2.9
40.0,57.8,7.3,17.4,Medi Bayreuth,23.3,649,0.43,1.7
40.2,59.2,5.9,15.1,ALBA,19.3,422,0.458,2.2
40.9,75.5,7.4,18.5,KFI,24.3,74,0.415,2.4
40.0,69.1,7.1,17.4,KR Reykjavik,24.6,645,0.458,3.4
40.4,65.4,6.1,15.3,Euroins Cherno More,22.3,226,0.428,1.8
41.0,72.5,9.4,18.5,UMFN Njardvik,26.8,70,0.427,3.0
40.2,61.2,8.1,13.2,Laboral Kutxa,16.9,426,0.477,2.4
40.3,62.9,6.4,12.2,Nancy Basket,18.7,336,0.444,2.6
40.3,67.5,8.5,16.1,Ferro-ZNTU Zaporozhye,22.5,333,0.457,2.6
40.2,64.7,7.3,12.9,Kryvbasbasket-Lux Kryvyi Rih,18.8,416,0.425,3.5
40.3,73.2,6.2,18.9,Pacific Jewellers Saints,26.4,355,0.489,4.1
40.0,70.1,8.8,17.7,Boras Basket,21.3,708,0.479,2.2
40.5,57.9,4.5,13.6,Proteas EKA AEL,20.2,173,0.427,2.9
40.1,60.8,6.0,14.4,BC Kalev-Cramo,21.4,582,0.451,4.0
40.2,59.5,6.9,12.1,Planasa Navarra,18.1,450,0.453,2.2
0.0,86.5,3.5,20.0,Lake Michigan Admirals,29.0,813,0.48,4.5
40.0,62.0,6.5,13.0,Persbraaten BBK,22.0,635,0.427,0.0
40.2,63.2,6.6,13.9,Vanoli Cremona,19.1,486,0.47,1.2
40.0,65.1,6.1,12.0,KK Crvena Zvezda Junior Team,16.5,689,0.499,4.1
40.8,60.6,8.9,13.2,Illawarra Hawks,18.1,88,0.436,2.6
40.2,66.1,6.5,16.4,MBK Rieker Komarno,23.3,438,0.473,2.1
41.7,64.0,3.0,12.0,Team England U18 Men,16.7,59,0.432,4.3
40.4,62.1,7.9,12.2,Altshuler Shaham Gilboa Galil,18.0,188,0.49,3.4
40.0,60.8,6.6,16.3,Politekhnika-Halychyna,21.9,624,0.447,1.6
40.7,59.4,5.2,14.6,APOEL Nicosia,22.1,94,0.474,2.3
40.2,62.8,4.9,15.8,BCM U Pitesti,22.8,409,0.458,2.8
39.0,58.9,5.5,14.0,Kaspiy Aktau,18.5,805,0.472,4.0
40.0,62.9,9.0,15.1,Rent4Office Nuernberger BC,21.0,610,0.451,2.9
40.3,63.0,8.1,12.7,Credito Di Romagna Forli,17.1,314,0.469,3.0
40.0,66.0,8.3,11.0,Alba Fehervar,16.5,667,0.494,2.9
40.6,60.0,7.9,15.0,ABA Strumica,20.1,134,0.473,1.2
40.4,60.5,6.3,17.7,Obras Sanitarias,24.0,219,0.467,2.9
40.1,57.3,6.6,13.4,Strasbourg IG,17.3,547,0.492,2.8
40.3,59.6,8.0,14.6,Regatas Corrientes,20.7,285,0.481,2.7
40.1,70.1,6.0,14.2,Frayles de Guasave,20.0,566,0.479,1.9
45.1,71.1,6.8,15.7,Krasnye Krylia,21.5,50,0.432,2.9
40.2,60.4,7.0,15.6,Atletico Argentino de Junin,22.3,444,0.468,2.5
40.1,60.2,7.0,12.9,Unicaja Malaga,17.3,591,0.441,3.2
40.1,58.8,4.6,13.6,Ydra Asfalistiki ENAD,21.0,541,0.4,1.7
40.2,61.8,5.9,10.3,Jeonju KCC Egis,14.3,480,0.409,1.9
40.0,64.8,7.9,14.2,CEZ Nymburk,19.2,731,0.475,3.1
40.8,64.4,5.2,13.5,BC Aarhus,19.7,87,0.419,1.8
40.3,61.0,6.1,12.9,Caceres Patrimonio de la Humanidad,19.3,351,0.439,2.0
39.9,64.6,7.9,13.0,Egis Kormend,19.3,768,0.47,1.5
40.4,60.5,9.4,14.1,AGOR Aegean BC,20.2,206,0.422,3.4
40.1,70.0,6.4,11.7,GTU,22.3,579,0.35,1.9
40.1,61.7,9.0,10.8,Pinar Karsiyaka,16.1,571,0.469,2.3
40.8,64.3,5.3,15.7,Team FOG Naestved,22.1,91,0.451,2.7
40.2,64.1,7.6,14.0,Crailsheim Merlins,19.3,489,0.459,1.9
0.0,92.5,8.5,19.2,Bowling Green Hornets,29.8,819,0.465,5.8
40.2,59.9,6.8,18.0,Palma Air Europa,24.4,488,0.42,2.4
41.7,66.7,8.7,17.0,Azzurro Basket Napoli,20.0,58,0.445,0.7
38.2,57.7,6.0,16.2,Astana Tigers,22.7,806,0.471,2.9
40.5,58.2,7.3,13.7,KK Maribor Nova,18.8,152,0.466,1.2
40.0,59.0,7.7,11.9,KK Tamis,16.7,664,0.462,1.9
41.2,74.4,5.2,15.4,Taranaki Mountain Airs,23.2,62,0.485,3.0
40.1,61.0,6.1,14.9,Gelisim Koleji,22.3,512,0.433,0.9
41.1,66.0,6.9,14.1,Neptunas,20.8,67,0.464,1.9
40.1,57.9,5.3,12.3,Valga Maks,17.6,586,0.425,1.5
41.7,69.3,3.7,18.7,KK Cibona Junior Team,26.0,57,0.428,1.3
40.0,59.8,2.6,13.0,KK Mega Vizura Junior Team,20.0,676,0.421,3.6
40.0,66.8,7.8,21.2,Zalgiris Junior Team,31.0,634,0.427,4.8
40.0,63.9,10.7,15.7,Uniceub-BRB-Brasilia,19.9,746,0.489,2.7
47.5,79.6,8.1,21.0,Beijing Shougang,27.7,38,0.465,2.8
40.1,62.7,6.5,17.0,Trigueros de Obregon,23.8,555,0.488,1.2
40.0,61.4,5.8,12.8,Rotterdam,17.4,660,0.434,1.3
40.1,59.6,7.2,10.7,KK Konstantin Nis,15.9,540,0.442,1.5
40.4,58.4,7.2,16.4,Zalgiris,21.5,189,0.492,1.9
40.0,60.7,5.0,15.9,KK Lirija,22.5,628,0.495,2.6
40.0,58.8,7.1,9.6,Factum Sport,14.1,739,0.396,2.0
40.4,60.1,8.7,13.8,EA7 Emporio Armani Milano,18.5,211,0.477,2.7
40.4,63.4,8.9,14.6,Cangrejeros de Santurce,19.1,218,0.444,2.9
40.6,61.9,6.0,18.1,KAOD BC,26.4,130,0.427,2.7
40.4,61.7,8.4,14.2,Conad Bologna,19.0,262,0.435,2.6
40.1,69.4,7.8,11.7,Mgzavrebi-Armia Tbilisi,18.0,574,0.436,3.0
40.2,58.5,8.7,15.3,Turow Zgorzelec,19.9,417,0.469,3.0
39.7,60.3,8.2,16.1,Sao Jose/Unimed/Vinac,20.4,789,0.466,2.6
47.5,97.5,10.6,18.9,Bellingham,26.3,39,0.491,5.1
40.2,62.0,5.7,11.4,Anyang KGC,16.6,412,0.454,2.4
40.0,63.0,5.6,10.7,KFUM Nassjo Basket,14.7,742,0.455,1.6
40.4,56.1,7.4,12.9,LTHCast Mercator,19.4,221,0.456,1.3
40.3,64.6,8.4,15.0,BC Rilski Sportist,20.5,368,0.476,3.1
40.2,56.4,7.8,11.6,ADO Basquetebol Sad Ovarense,16.7,495,0.463,1.0
40.3,59.7,9.0,13.5,Kozuv Gevgelija,18.3,268,0.469,1.5
40.0,57.2,6.0,12.0,KK Servitium,17.1,643,0.433,1.0
40.5,61.7,5.7,11.8,Angelico Biella,15.5,156,0.446,1.1
40.1,62.5,6.0,16.2,MIA Academy,23.0,501,0.47,2.6
