MPG,FGA,3PM,FTM,Team,FTA,#,FG%,BPG
40.2,62.2,6.4,16.1,KK Mega Vizura,22.2,414,0.501,2.5
40.2,64.1,8.1,15.5,BC Budivelnik,20.9,431,0.451,3.8
41.2,74.4,5.2,15.4,Taranaki Mountain Airs,23.2,62,0.485,3.0
40.2,61.5,6.0,15.1,ece bulls Kapfenberg,19.1,396,0.483,2.5
40.1,66.6,7.0,13.6,Atomeromu SE,18.9,528,0.492,2.5
40.4,65.4,6.1,15.3,Euroins Cherno More,22.3,226,0.428,1.8
40.6,61.9,6.0,18.1,KAOD BC,26.4,130,0.427,2.7
40.0,60.2,6.1,10.7,Askatuak Saski-Baloi Taldea,16.8,684,0.385,2.8
40.2,61.6,6.2,10.3,Hitachi Sun Rockers,15.1,419,0.416,2.3
40.0,59.1,5.8,14.6,Chin Min Dragons St. Polten,19.8,620,0.45,1.1
40.0,58.8,7.1,9.6,Factum Sport,14.1,739,0.396,2.0
40.3,64.6,5.2,14.5,BC Goverla,20.8,278,0.462,2.9
40.1,60.6,8.1,14.1,Ciclista Olimpico,20.3,520,0.441,2.2
40.3,70.9,10.1,15.4,Ungmennafelagio Snaefell,21.1,274,0.476,2.4
40.4,61.4,6.1,13.8,Barcelos Hotel Terco,20.0,253,0.445,0.9
0.0,71.8,8.8,13.2,River City Panthers,26.8,821,0.439,7.8
40.2,63.9,9.3,16.0,BG Goettingen,24.5,423,0.435,1.4
40.4,58.4,7.2,18.1,BC Balkan,24.0,224,0.476,1.9
40.0,62.3,8.5,13.0,Bauru,17.7,607,0.48,1.8
40.2,63.2,6.6,13.9,Vanoli Cremona,19.1,486,0.47,1.2
40.1,63.6,8.6,16.2,UBSC Raiffeisen Graz,21.0,602,0.439,0.7
39.9,69.8,8.6,14.3,Al Moutahed Tripoli,20.3,750,0.456,2.8
39.5,63.7,8.3,11.4,Residence Walferdange,15.3,794,0.478,0.8
40.7,58.0,8.1,10.8,Eskishehir Basket,16.1,110,0.449,2.6
40.3,61.6,9.4,15.4,Penarol,22.5,301,0.447,2.1
40.1,61.3,4.7,22.3,Estrellas Orientales,30.0,596,0.435,2.3
40.1,64.0,5.4,17.4,Allianz Swans Gmunden,24.1,503,0.487,2.0
41.8,68.4,8.4,14.1,Marinos,20.7,56,0.476,3.1
47.5,79.6,8.1,21.0,Beijing Shougang,27.7,38,0.465,2.8
40.4,63.8,6.8,16.8,Hapoel Unet Holon,22.9,208,0.428,3.2
40.3,68.3,6.9,13.1,Tobol Kostanay,18.4,375,0.416,1.3
40.2,64.9,4.7,16.3,Guaros,22.9,439,0.482,2.3
40.7,61.2,9.5,13.1,Lucentum Alicante,17.9,114,0.462,2.1
40.4,63.0,4.3,12.6,Sampaense Basket,18.4,207,0.432,2.0
40.5,64.4,6.6,18.2,Uni-Riesen Leipzig,25.1,160,0.441,2.9
39.2,67.2,7.5,13.0,Etzella Ettelbruck,17.3,804,0.445,1.6
40.0,56.1,6.0,14.8,Cognac BB,21.7,747,0.476,1.9
40.2,61.2,7.3,15.0,Lietuvos Rytas,20.7,456,0.456,2.1
40.8,64.3,5.3,15.7,Team FOG Naestved,22.1,91,0.451,2.7
40.0,55.8,5.6,15.6,KK Kvarner 2010,21.9,712,0.472,0.9
40.5,61.5,6.9,17.6,Maccabi Bazan Haifa,25.1,138,0.476,2.8
40.0,64.1,5.8,11.9,KK Hito Johvi,17.9,638,0.364,1.0
40.1,61.1,8.2,16.5,Quimsa,22.8,575,0.45,1.5
40.4,69.3,7.5,14.9,Leones de Ponce,20.7,266,0.451,2.7
40.3,67.5,8.5,16.1,Ferro-ZNTU Zaporozhye,22.5,333,0.457,2.6
48.3,81.3,7.0,16.2,San Miguel Beerman,24.0,12,0.425,4.1
44.0,65.4,8.6,14.7,Khimki BC,18.8,54,0.498,4.1
40.8,66.8,6.2,13.6,Baerum Basket,20.5,86,0.463,3.4
40.0,64.6,6.9,12.3,Istanbul Buyuksehir Belediyesi,19.0,722,0.438,1.9
40.4,60.5,6.3,17.7,Obras Sanitarias,24.0,219,0.467,2.9
40.4,66.3,8.2,13.1,Saint-Quentin Basketball,17.8,197,0.457,2.3
40.0,69.1,7.1,17.4,KR Reykjavik,24.6,645,0.458,3.4
40.1,59.8,7.0,10.4,BC Apollo Amsterdam,16.5,518,0.445,3.2
40.0,61.9,7.4,12.0,Forca Lleida,16.8,678,0.445,2.5
40.5,58.2,7.3,13.7,KK Maribor Nova,18.8,152,0.466,1.2
37.8,60.9,6.9,13.8,Barsy Atyrau,19.7,807,0.443,1.9
41.7,64.0,3.0,12.0,Team England U18 Men,16.7,59,0.432,4.3
40.2,61.2,7.2,13.8,KK Parnu,23.7,433,0.441,1.8
40.1,66.5,5.8,17.5,Pyrinto Tampere,24.6,564,0.474,3.9
41.1,62.1,6.0,14.9,Hopsi Polzela,19.7,65,0.445,3.9
40.0,67.5,6.5,7.2,KK Split Junior Team,10.2,672,0.459,3.2
40.1,70.1,6.0,14.2,Frayles de Guasave,20.0,566,0.479,1.9
40.0,60.6,8.4,15.2,BG Karlsruhe,20.9,727,0.471,1.2
40.7,60.0,7.1,12.8,Erdemirspor,19.6,108,0.452,2.3
40.2,64.4,8.0,18.5,Pioneros,24.5,427,0.493,1.7
40.3,58.4,6.5,16.2,ZZ Leiden,24.4,297,0.462,2.1
40.3,64.6,8.4,15.0,BC Rilski Sportist,20.5,368,0.476,3.1
48.3,81.9,6.6,17.6,Meralco Bolts,26.1,14,0.404,3.3
40.2,72.1,7.0,14.1,Mineros de Caborca,20.0,432,0.471,3.7
40.1,60.4,5.7,13.6,Franca,20.1,563,0.483,3.7
40.9,63.3,7.5,16.1,Palmeiras,23.6,76,0.431,1.7
40.4,68.6,6.0,15.7,London Lions,22.9,259,0.436,2.7
0.0,78.0,0.0,23.0,Rochester RazorSharks,29.0,815,0.449,5.0
40.3,64.9,8.2,15.3,Aix Maurienne Savoie Basket,20.6,376,0.437,2.4
39.0,58.9,5.5,14.0,Kaspiy Aktau,18.5,805,0.472,4.0
40.0,57.0,5.7,14.7,KK Sloboda Uzice,20.9,662,0.463,1.9
41.5,66.3,5.3,16.3,Centauros de Apure,27.7,60,0.477,1.3
41.1,66.0,6.9,14.1,Neptunas,20.8,67,0.464,1.9
40.2,60.4,7.1,15.7,EWE Baskets Oldenburg,20.9,399,0.471,2.0
40.0,56.2,7.8,15.3,Ikaros Kallitheas BC,21.3,682,0.422,2.5
40.8,61.3,8.5,16.1,BC Orchies,21.7,83,0.473,1.9
39.3,70.5,7.7,13.5,T71 Dudelange,20.1,799,0.465,2.1
40.1,59.6,7.2,10.7,KK Konstantin Nis,15.9,540,0.442,1.5
40.1,61.0,6.1,14.9,Gelisim Koleji,22.3,512,0.433,0.9
0.0,86.5,3.5,20.0,Lake Michigan Admirals,29.0,813,0.48,4.5
40.0,58.8,6.3,14.1,KK Sloga,19.1,663,0.494,2.2
40.0,68.4,7.6,11.4,KK Partizan Junior Team,16.8,686,0.442,3.0
40.4,60.9,6.8,11.1,Aliaga Petkim,15.8,203,0.444,1.8
40.2,71.7,3.7,17.1,Antranik Beirut,23.3,415,0.423,2.8
