Row,Organism,Tax Group,NCBI Project ID,Replicons,Total Size (bp),Number of genes,5S rRNA count,16S rRNA count,23S rRNA count,tRNA count,% AT
202.0,Bacillus cytotoxicus NVH 391-98,BFirm BB,13624.0,2.0,"4,094,159","3,844",13.0,13.0,13.0,106.0,64.1
203.0,Bacillus cereus Q1,BFirm BB,16220.0,3.0,"5,506,207","5,502",13.0,13.0,13.0,94.0,64.5
204.0,Bacillus cereus AH820,BFirm BB,17711.0,4.0,"5,588,834","5,810",12.0,12.0,12.0,96.0,64.7
205.0,Bacillus cereus AH187,BFirm BB,17715.0,5.0,"5,599,857","5,796",14.0,14.0,14.0,104.0,64.5
206.0,Bacillus cereus B4264,BFirm BB,17731.0,1.0,"5,419,036","5,408",14.0,14.0,14.0,108.0,64.7
207.0,Bacillus cereus G9842,BFirm BB,17733.0,3.0,"5,736,823","5,857",13.0,13.0,13.0,98.0,65.0
208.0,Bacillus thuringiensis str. Al Hakam,BFirm BB,18255.0,2.0,"5,313,030","4,798",14.0,14.0,14.0,104.0,64.6
209.0,Geobacillus thermodenitrificans NG80-2,BFirm BB,18655.0,2.0,"3,608,012","3,445",10.0,10.0,10.0,87.0,51.1
210.0,Lysinibacillus sphaericus C3-41,BFirm BB,19619.0,2.0,"4,817,463","4,771",11.0,10.0,10.0,85.0,62.9
211.0,Bacillus pumilus SAFR-032,BFirm BB,20391.0,1.0,"3,704,465","3,681",7.0,7.0,7.0,70.0,58.7
212.0,Geobacillus sp. WCH70,BFirm BB,20805.0,3.0,"3,508,804","3,168",8.0,10.0,10.0,92.0,57.2
213.0,Exiguobacterium sp. AT1b,BFirm BB,27759.0,1.0,"2,999,895","3,020",9.0,9.0,9.0,68.0,51.5
214.0,Geobacillus sp. Y412MC10,BFirm BB,27777.0,1.0,"7,121,665","6,238",8.0,8.0,8.0,73.0,48.8
215.0,Anoxybacillus flavithermus WK1,BFirm BB,28245.0,1.0,"2,846,746","2,832",8.0,8.0,8.0,77.0,58.2
216.0,Bacillus megaterium QM B1551,BFirm BB,30165.0,8.0,"5,523,192","5,629",13.0,12.0,12.0,139.0,62.1
217.0,Geobacillus sp. Y412MC61,BFirm BB,30537.0,2.0,"3,667,901","3,446",9.0,8.0,8.0,88.0,47.7
218.0,Bacillus cereus 03BB102,BFirm BB,31307.0,2.0,"5,449,308","5,621",14.0,14.0,14.0,105.0,64.7
219.0,Bacillus anthracis str. CDC 684,BFirm BB,31329.0,3.0,"5,506,763","5,902",11.0,11.0,11.0,96.0,64.8
220.0,Bacillus anthracis str. A0248,BFirm BB,33543.0,3.0,"5,503,926","5,291",11.0,11.0,11.0,95.0,64.8
221.0,Geobacillus sp. C56-T3,BFirm BB,41701.0,1.0,"3,650,813","3,315",9.0,8.0,8.0,88.0,47.5
222.0,Bacillus megaterium DSM319,BFirm BB,42425.0,1.0,"5,097,447","5,124",11.0,11.0,11.0,115.0,61.9
223.0,Bacillus thuringiensis BMB171,BFirm BB,43631.0,2.0,"5,643,051","5,349",14.0,14.0,14.0,104.0,64.8
224.0,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,BFirm BA,29405.0,4.0,"3,205,686","3,084",6.0,6.0,6.0,64.0,38.1
225.0,Bacillus tusciae DSM 2912,BFirm BA,31345.0,1.0,"3,384,766","3,150",5.0,5.0,5.0,60.0,40.9
226.0,Clostridium ljungdahlii ATCC 49587, ,13492.0,1.0, , , , , , , 
227.0,Streptococcus suis GZ1, ,18737.0,1.0, , , , , , , 
228.0,Lactobacillus casei str. Zhang, ,28537.0,1.0, , , , , , , 
229.0,Streptococcus mutans NN2025, ,28997.0,1.0, , , , , , , 
230.0,Bacillus anthracis CI, ,36309.0,4.0,"290,595",337,0.0,0.0,0.0,0.0,67.0
231.0,Staphylococcus aureus subsp. aureus TW20, ,36647.0,3.0,"32,596",33,0.0,0.0,0.0,0.0,67.5
232.0,Clostridium difficile R20291, ,38039.0,1.0, , , , , , , 
233.0,Thermincola sp. JR, ,41467.0,1.0, , , , , , , 
234.0,Lactobacillus salivarius CECT 5713, ,43535.0,4.0, , , , , , , 
235.0,Lactococcus lactis subsp. cremoris NZ9000, ,46623.0,1.0, , , , , , , 
