Part#,Resolution,Throughput Rate,Number of Channels,Circuit Architecture,INL in LSBs (max),SNR (typ),Power Dissipation (typ),Operating Temp Range,Analog Input Type,DNL (max),Vin Single Pin (max),US Price 1000 to 4999
AD7623,16,1.33 MSPS,1,SAR,1,-,55 mW,-40 to +85,Diff-Uni,2.01,-,$24.34
AD7621,16,3 MSPS,1,SAR,1,-,86 mW,-40 to +85,Diff-Uni,2.01,-,$36.98
AD7278,8,3 MSPS,1,SAR,0.2,-,19.8 mW,-40 to +85,SE-Uni,0.3,-,$2.01
AD7277,10,3 MSPS,1,SAR,0.5,-,19.8 mW,-40 to +125,SE-Uni,0.5,-,$2.14
AD7276,12,3 MSPS,1,SAR,1,-,19.8 mW,-40 to +125,SE-Uni,1.2,-,$1.85
AD9229-50,12,50 MSPS,4,Pipelined,-,-,1.083 W,-40 to +85,Diff-Uni,-,-,$34.41
AD7942,14,250 kSPS,1,SAR,0.39,-,12.5 mW,-40 to +85,Diff-Uni,0.29,-,$5.87
AD7746,24,90 SPS,2,Sigma-Delta,-,-,4.25 mW,-40 to +125,"Diff-Uni, SE-Uni",-,-,$6.11
AD7745,24,90 SPS,1,Sigma-Delta,-,-,4.25 mW,-40 to +125,"Diff-Uni, SE-Uni",-,-,$4.66
AD7688,16,500 kSPS,1,SAR,0.4,-,21.5 mW,-40 to +85,Diff-Uni,0.4,-,$18.46
AD7687,16,250 kSPS,1,SAR,0.39,-,12.5 mW,-40 to +85,Diff-Uni,0.39,-,$11.05
AD7686,16,500 kSPS,1,SAR,2,-,21.5 mW,-40 to +85,Diff-Uni,1.5,-,$12.14
AD7266,12,2 MSPS,12,SAR,0.5,-,33.6 mW,-40 to +125,"Diff-Uni, SE-Uni",0.95,-,$4.31
AD7265,12,1 MSPS,12,SAR,1,-,21 mW,-40 to +125,"Diff-Uni, SE-Uni",0.99,-,$3.86
AD6654,14,-,1,Subranging,-,-,2.5 W,-25 to +85,Diff-Uni,-,-,$78.75
AD9248-20,14,20 MSPS,2,Pipelined,-,-,217 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$18.98
AD7992,12,79 kSPS,2,SAR,1,-,-,-40 to +85,SE-Uni,1.5,-,$3.04
AD7934-6,12,625 kSPS,4,SAR,1,-,-,-40 to +85,"Diff-Uni, SE-Uni",0.95,-,$4.66
AD7934,12,1.5 MSPS,4,SAR,1,-,16 mW,-40 to +85,"Diff-Uni, SE-Uni",0.95,-,$7.19
AD7933,10,1.5 MSPS,4,SAR,0.5,-,16 mW,-40 to +85,"Diff-Uni, SE-Uni",0.5,-,$3.54
AD7799,24,470 SPS,3,Sigma-Delta,-,-,2.5 mW,-40 to +105,Diff-Uni,-,-,$4.40
AD7798,16,470 SPS,3,Sigma-Delta,0.98,-,2 mW,-40 to +105,Diff-Uni,-,-,$3.85
AD6650,16,1 MSPS,2,Pipelined,-,-,2.1 W,-25 to +85,Diff-Uni,-,-,$21.67
AD9481,8,250 MSPS,1,Pipelined,-,-,618.8 mW,-40 to +85,Diff-Uni,0.35,-,$16.19
AD9444,14,80 MSPS,1,Pipelined,-,-,1.4 W,-40 to +85,Diff-Uni,0.4,-,$32.69
AD9289,8,65 MSPS,4,Pipelined,-,-,550 mW,-40 to +85,Diff-Uni,0.25,-,$11.05
AD9216-105,10,105 MSPS,2,Pipelined,-,-,330 mW,-40 to +85,Diff-Uni,-,-,$11.39
AD7998,12,79 kSPS,8,SAR,0.6,-,-,-40 to +85,SE-Uni,0.75,-,$4.32
AD7997,10,79 kSPS,8,SAR,1,-,7 mW,-40 to +85,SE-Uni,0.9,-,$2.13
AD7994,12,188 kSPS,4,SAR,0.2,-,6 mW,-40 to +85,SE-Uni,0.2,-,$4.01
AD7993,10,188 kSPS,4,SAR,0.5,-,6 mW,-40 to +85,SE-Uni,0.5,-,$2.33
AD7939,10,1.5 MSPS,8,SAR,0.5,-,16 mW,-40 to +85,"Diff-Uni, SE-Uni",0.5,-,$4.64
AD7938-6,12,625 kSPS,8,SAR,1,-,-,-40 to +85,"Diff-Uni, SE-Uni",0.95,-,$5.99
AD7938,12,1.5 MSPS,8,SAR,1,-,16 mW,-40 to +85,"Diff-Uni, SE-Uni",0.95,-,$9.08
AD7877,12,125 kSPS,9,SAR,-,-,3.2 mW,-40 to +85,SE-Uni,-,-,$2.15
AD7794,24,470 SPS,6,Sigma-Delta,-,-,2.5 mW,-40 to +125,Diff-Uni,0.06,-,$5.87
AD7793,24,470 SPS,3,Sigma-Delta,-,-,2.5 mW,-40 to +105,Diff-Uni,251.66,-,$5.16
AD7792,16,470 SPS,3,Sigma-Delta,0.98,-,2.5 mW,-40 to +105,Diff-Uni,0.98,-,$4.04
AD7694,16,250 kSPS,1,SAR,4,-,6.3 mW,-40 to +85,Diff-Uni,-,-,$7.41
AD7684,16,100 kSPS,1,SAR,3.01,-,6 mW,-40 to +85,Diff-Uni,-,-,$6.58
AD7683,16,100 kSPS,1,SAR,0.98,-,6 mW,-40 to +85,Diff-Uni,0.98,-,$5.82
AD9480,8,250 MSPS,1,Pipelined,-,-,698 mW,-40 to +85,Diff-Uni,0.28,-,$18.20
AD7940,14,100 kSPS,1,SAR,1.51,-,-,-40 to +85,SE-Uni,0.9,-,$5.06
AD7685,16,250 kSPS,1,SAR,0.6,-,-,-40 to +85,Diff-Uni,0.5,-,$6.58
AD7922,12,1 MSPS,2,SAR,1.5,-,15 mW,-40 to +85,SE-Uni,1.5,-,$5.25
AD7921,12,250 kSPS,2,SAR,1.5,-,20 mW,-40 to +85,SE-Uni,1.5,-,$2.33
AD7912,10,1 MSPS,2,SAR,0.5,-,15 mW,-40 to +85,SE-Uni,0.5,-,$3.39
AD7911,10,250 kSPS,2,SAR,0.5,-,20 mW,-40 to +85,SE-Uni,0.5,-,$2.02
AD7787,24,120 SPS,2,Sigma-Delta,-,-,800 µW,-40 to +105,"Diff-Uni, SE-Bip, SE-Uni",0.06,-,$4.88
AD7680,16,100 kSPS,1,SAR,4,-,-,-40 to +85,SE-Uni,-,-,$6.21
AD7667,16,1 MSPS,1,SAR,2,-,145 mW,-40 to +85,Diff-Uni,1.5,-,$12.88
AD7666,16,500 kSPS,1,SAR,2,-,90 mW,-40 to +85,Diff-Uni,1.5,-,$10.53
AD9866,12,80 MSPS,1,Pipelined,-,-,1.66 W,-40 to +85,Diff-Uni,-,-,$18.77
AD9865,10,80 MSPS,1,Pipelined,-,-,475 mW,-40 to +85,Diff-Uni,-,-,$10.07
AD9863,12,50 MSPS,2,Pipelined,-,-,-,-40 to +85,Diff-Uni,-,-,$21.68
AD9861-50,10,50 MSPS,2,Pipelined,-,-,-,-40 to +85,Diff-Uni,-,-,$10.84
AD7661,16,100 kSPS,1,SAR,2.49,-,45 mW,-40 to +85,Diff-Uni,1.51,-,$7.97
AD7652,16,500 kSPS,1,SAR,6.03,-,90 mW,-40 to +85,Diff-Uni,2.49,-,$9.52
AD7651,16,100 kSPS,1,SAR,6.03,-,45 mW,-40 to +85,Diff-Uni,3.01,-,$7.54
AD7457,12,100 kSPS,1,SAR,1,-,3 mW,-40 to +85,Diff-Uni,0.95,-,$2.26
AD7453,12,555 kSPS,1,SAR,1,-,7.25 mW,-40 to +85,Diff-Uni,0.95,-,$3.50
AD7452,12,555 kSPS,1,SAR,1,-,7.25 mW,-40 to +85,Diff-Uni,0.95,-,$3.50
AD7451,12,1 MSPS,1,SAR,1,-,9.25 mW,-40 to +85,Diff-Uni,0.95,-,$5.03
AD7450A,12,1 MSPS,1,SAR,1,-,9 mW,-40 to +85,Diff-Uni,1,-,$5.37
AD7441,10,1 MSPS,1,SAR,0.5,-,9.3 mW,-40 to +85,SE-Uni,0.5,-,$2.96
AD7440,10,1 MSPS,1,SAR,0.5,-,9 mW,-40 to +85,Diff-Uni,0.5,-,$2.53
AD9864,24,375 kSPS,1,Sigma-Delta,-,-,-,-40 to +85,"Diff-Uni, SE-Uni",-,-,$10.07
AD7791,24,120 SPS,1,Sigma-Delta,-,-,800 µW,-40 to +105,Diff-Uni,-,-,$3.88
AD7790,16,120 SPS,1,Sigma-Delta,0.98,-,800 µW,-40 to +105,Diff-Uni,-,-,$2.99
AD7789,24,16.6 SPS,1,Sigma-Delta,-,-,400 µW,-40 to +105,Diff-Uni,-,-,$2.99
AD7788,16,16.6 SPS,1,Sigma-Delta,0.98,-,400 µW,-40 to +105,Diff-Uni,-,-,$2.01
AD7679,18,570 kSPS,1,SAR,2.49,-,103 mW,-40 to +85,Diff-Uni,1,-,$19.50
AD7678,18,100 kSPS,1,SAR,2.49,-,26 mW,-40 to +85,Diff-Uni,1.76,-,$22.73
AD7674,18,800 kSPS,1,SAR,2.62,-,138 mW,-40 to +85,Diff-Uni,1.31,-,$33.10
AD7653,16,1 MSPS,1,SAR,6.03,-,145 mW,-40 to +85,Diff-Uni,2.49,-,$13.62
AD9236,12,80 MSPS,1,Pipelined,-,-,411 mW,-40 to +85,"Diff-Uni, SE-Uni",0.4,-,$16.70
AD9215-105,10,105 MSPS,1,Pipelined,-,-,145 mW,-40 to +85,Diff-Uni,-,-,$7.59
AD80066,16,24 MSPS,4,-,-,-,490 mW,0 to +70,SE-Bip,0.5,-,$6.13
AD7739,24,15.1 kSPS,8,Sigma-Delta,-,-,100 mW,-40 to +105,"Diff-Bip, Diff-Uni, SE-Bip, SE-Uni",-,-,$7.74
AD7468,8,200 kSPS,1,SAR,0.2,-,0.57 mW,-40 to +85,SE-Uni,0.2,-,$1.36
AD7467,10,200 kSPS,1,SAR,0.5,-,0.63 mW,-40 to +85,SE-Uni,0.5,-,$1.92
AD7466,12,200 kSPS,1,SAR,1.5,-,0.9 mW,-40 to +85,SE-Uni,1.5,-,$2.78
AD9244-40,14,40 MSPS,1,Pipelined,-,-,370 mW,-40 to +85,Diff-Uni,-,-,$18.86
AD9238-20,12,20 MSPS,2,Pipelined,-,-,212 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$11.13
AD7928,12,1 MSPS,8,SAR,1,-,13.5 mW,-40 to +85,SE-Uni,1.2,-,$4.81
AD7927,12,200 kSPS,8,SAR,1,-,7.5 mW,-40 to +85,SE-Uni,1.2,-,$2.83
AD7920,12,250 kSPS,1,SAR,0.75,-,15 mW,-40 to +85,SE-Uni,1.2,-,$2.42
AD7918,10,1 MSPS,8,SAR,0.5,-,13.5 mW,-40 to +85,SE-Uni,0.5,-,$3.29
AD7910,10,250 kSPS,1,SAR,0.5,-,15 mW,-40 to +85,SE-Uni,0.5,-,$1.77
AD7908,8,1 MSPS,8,SAR,0.2,-,13.5 mW,-40 to +85,SE-Uni,0.2,-,$1.87
AD7734,24,15.4 kSPS,4,Sigma-Delta,-,-,100 mW,-40 to +105,"SE-Bip, SE-Uni",-,-,$10.49
AD7732,24,15.4 kSPS,2,Sigma-Delta,-,-,100 mW,-40 to +105,"Diff-Bip, Diff-Uni",-,-,$8.60
AD7655,16,1 MSPS,4,SAR,6.03,-,135 mW,-40 to +85,SE-Uni,-,-,$9.56
AD7924,12,1 MSPS,4,SAR,1,-,13.5 mW,-40 to +85,SE-Uni,1.2,-,$4.55
AD7923,12,200 kSPS,4,SAR,1,-,7.5 mW,-40 to +85,SE-Uni,1.2,-,$2.58
AD7914,10,1 MSPS,4,SAR,0.5,-,13.5 mW,-40 to +85,SE-Uni,0.5,-,$3.52
AD7904,8,1 MSPS,4,SAR,0.2,-,13.5 mW,-40 to +85,SE-Uni,0.2,-,$1.68
AD7738,24,15.4 kSPS,8,Sigma-Delta,-,-,100 mW,-40 to +105,"Diff-Bip, Diff-Uni, SE-Uni",-,-,$7.86
AD7654,16,500 kSPS,4,SAR,3.5,-,135 mW,-40 to +85,SE-Uni,-,-,$18.26
AD7485,14,1 MSPS,1,SAR,0.51,-,80 mW,-40 to +85,SE-Uni,0.25,-,$11.11
AD7484,14,3 MSPS,1,SAR,0.5,-,90 mW,-40 to +85,SE-Uni,0.29,-,$14.81
AD7482,12,3 MSPS,1,SAR,0.25,-,90 mW,-40 to +85,SE-Uni,0.25,-,$10.30
AD7478A,8,1.2 MSPS,1,SAR,0.3,-,17.5 mW,-40 to +85,SE-Uni,0.3,-,$1.12
AD7477A,10,1 MSPS,1,SAR,0.5,-,17.5 mW,-40 to +85,SE-Uni,0.5,-,$2.53
AD7476A,12,1 MSPS,1,SAR,1.5,-,17.5 mW,-55 to +125,SE-Uni,1.5,-,$4.05
AD9430-170,12,170 MSPS,1,Pipelined,-,-,1.43 W,-40 to +85,Diff-Uni,-,-,$39.97
AD7450,12,1 MSPS,1,SAR,1,-,9 mW,-40 to +85,Diff-Uni,1,-,$4.74
AD7866,12,1 MSPS,4,SAR,1,-,24 mW,-40 to +85,SE-Uni,0.9,-,$6.02
AD7677,16,1 MSPS,1,SAR,1,-,130 mW,-40 to +85,Diff-Uni,1,-,$40.69
AD7650,16,570 kSPS,1,SAR,6.03,-,115 mW,-40 to +85,Diff-Uni,2.03,-,$8.88
AD7490,12,1 MSPS,16,SAR,1,-,12.5 mW,-40 to +85,SE-Uni,1.5,-,$6.02
AD6645-MIL,14,80 MSPS,1,Pipelined,0.52,-,1.75 W,-40 to +85,Diff-Uni,0.25,-,-
AD6645-105,14,105 MSPS,1,Pipelined,-,-,1.5 W,-40 to +85,Diff-Uni,-,-,$56.67
AD9874,24,541.5 kSPS,1,Sigma-Delta,-,-,79.5 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$15.14
AD9433-105,12,105 MSPS,1,Pipelined,-,-,1.425 W,-40 to +85,Diff-Uni,-,-,$32.84
AD7783,24,19.79 SPS,1,Sigma-Delta,-,-,8.5 mW,-40 to +85,Diff-Bip,67.11,-,$4.30
AD7782,24,19.79 SPS,2,Sigma-Delta,-,-,8.5 mW,-40 to +85,Diff-Bip,67.11,-,$4.30
AD7709,16,105 SPS,4,Sigma-Delta,1.97,-,8.8 mW,-40 to +85,"Diff-Uni, SE-Uni",1,-,$3.94
AD7676,16,500 kSPS,1,SAR,1,-,74 mW,-40 to +85,Diff-Uni,1,-,$29.54
AD7675,16,100 kSPS,1,SAR,1.51,-,25 mW,-40 to +85,Diff-Uni,1,-,$14.20
AD9218-105,10,105 MSPS,2,Pipelined,-,-,565 mW,-40 to +85,Diff-Uni,-,-,$17.33
AD7719,24,105 SPS,6,Sigma-Delta,-,-,10 mW,-40 to +85,"Diff-Bip, Diff-Uni",67.11,-,$10.82
AD7718,24,1.365 kSPS,10,Sigma-Delta,-,-,8.75 mW,-40 to +85,"Diff-Uni, SE-Uni",67.11,-,$5.30
AD7708,16,1.365 kSPS,10,Sigma-Delta,1.1,-,8.75 mW,-40 to +85,"Diff-Uni, SE-Uni",1,-,$4.03
AD7671,16,1 MSPS,1,SAR,2.49,-,125 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$28.29
AD7414,10,1.25 SPS,0,-,-,-,-,-,-,-,-,$1.04
AD9235-20,12,20 MSPS,1,Pipelined,-,-,110 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$7.08
AD7665,16,570 kSPS,1,SAR,2.49,-,107 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$19.23
AD7663,16,250 kSPS,1,SAR,3.01,-,41 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$12.14
AD7495,12,1 MSPS,1,SAR,1.5,-,13 mW,-40 to +85,SE-Uni,1.5,-,$6.14
AD7492,12,1 MSPS,1,SAR,-,-,15 mW,-40 to +85,SE-Uni,-,-,-
AD7475,12,1 MSPS,1,SAR,1,-,10.5 mW,-40 to +85,SE-Uni,1.5,-,$5.03
AD10465,14,65 MSPS,2,Pipelined,-,-,3.9 W,-55 to +125,SE-Bip,-,-,$833.21
AD9410,10,210 MSPS,1,Pipelined,-,-,2.4 W,-40 to +85,Diff-Uni,0.5,-,$53.10
AD9214-105,10,105 MSPS,1,Pipelined,-,-,325 mW,-40 to +85,Diff-Uni,-,-,$10.83
AD7899,14,400 kSPS,1,SAR,2,-,125 mW,-55 to +125,"SE-Bip, SE-Uni",1,-,$11.57
AD7898,12,220 kSPS,1,SAR,1,-,22.5 mW,-40 to +85,SE-Bip,0.9,-,$5.89
AD7873,12,125 kSPS,6,SAR,-,-,1.4 mW,-40 to +85,SE-Uni,-,-,$1.95
AD7843,12,125 kSPS,4,SAR,-,-,1.4 mW,-40 to +85,SE-Uni,-,-,$1.16
AD73360L,16,64 kSPS,6,Sigma-Delta,-,-,80 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$5.82
AD1556,24,16 kSPS,2,"Sigma-Delta, Sigma-Delta Modulator",-,-,8.5 mW,-55 to +85,"Diff-Bip, SE-Bip",-,-,$30.33
AD1555,24,16 kSPS,2,Sigma-Delta Modulator,-,-,96 mW,-55 to +85,"Diff-Bip, SE-Bip",-,-,$74.61
AD10200,12,105 MSPS,2,Pipelined,-,-,2.2 W,-55 to +125,Diff-Uni,0.5,-,-
AD9226,12,65 MSPS,1,Pipelined,-,-,500 mW,-40 to +85,"Diff-Uni, SE-Uni",0.6,-,$20.50
AD7664,16,570 kSPS,1,SAR,2.49,-,115 mW,-40 to +85,Diff-Uni,1.51,-,$22.08
AD7660,16,100 kSPS,1,SAR,3.01,-,25 mW,-40 to +85,Diff-Uni,1.77,-,$8.00
AD7478,8,1 MSPS,1,SAR,0.5,-,17.5 mW,-55 to +125,SE-Uni,0.5,-,$0.96
AD7724,15,250 kSPS,2,Sigma-Delta Modulator,0.98,-,300 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$10.12
AD6644-40,14,40 MSPS,1,Pipelined,-,-,1.5 W,-25 to +85,Diff-Uni,-,-,$33.89
AD7477,10,1 MSPS,1,SAR,1,-,17.5 mW,-55 to +125,SE-Uni,0.9,-,$2.52
AD7476,12,1 MSPS,1,SAR,1.5,-,17.5 mW,-55 to +125,SE-Uni,1.5,-,$4.05
AD9432-105,12,105 MSPS,1,Pipelined,-,-,1.1 W,-40 to +85,Diff-Uni,-,-,$32.84
AD9203,10,40 MSPS,1,Pipelined,0.65,-,108 mW,-40 to +85,"Diff-Uni, SE-Uni",0.25,-,$3.80
AD7707,16,500 SPS,3,Sigma-Delta,0.13,-,3.75 mW,-40 to +85,"Diff-Uni, SE-Bip",1,-,$5.95
AD7472,12,1.5 MSPS,1,SAR,1,-,12 mW,-40 to +85,SE-Uni,0.9,-,$7.41
AD7470,10,1.75 MSPS,1,SAR,1,-,12 mW,-40 to +85,SE-Uni,0.9,-,$3.19
AD73360,16,64 kSPS,6,Sigma-Delta,-,-,80 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$6.34
AD9288-100,8,100 MSPS,2,Pipelined,-,-,180 mW,-40 to +85,Diff-Uni,-,-,$10.63
AD9054A-135,8,135 MSPS,1,Pipelined,-,-,700 mW,-40 to +85,Diff-Uni,-,-,$18.51
AD7888,12,125 kSPS,8,SAR,1,-,3.5 mW,-40 to +105,SE-Uni,1,-,$3.90
AD7865,14,350 kSPS,4,SAR,1.47,-,160 mW,-40 to +105,"SE-Bip, SE-Uni",1,-,$14.67
AD7887,12,125 kSPS,2,SAR,1,-,3.5 mW,-40 to +125,SE-Uni,1,-,$3.62
AD7729,15,270.8 kSPS,2,Sigma-Delta,-,-,59 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,$9.11
AD7418,10,66.7 kSPS,2,-,-,-,-,-,-,1,-,$2.74
AD974,16,200 kSPS,4,SAR,-,-,120 mW,-40 to +85,"SE-Bip, SE-Uni",1.77,-,$26.72
AD7894,14,200 kSPS,1,SAR,1.47,-,27.5 mW,-40 to +85,"SE-Bip, SE-Uni",1,-,$8.05
AD7818,10,100 kSPS,2,-,1,-,-,-,-,1,-,$3.00
AD9283-100,8,100 MSPS,1,Pipelined,-,-,120 mW,-25 to +85,Diff-Uni,-,-,$5.57
AD7416,10,2.5 kSPS,0,-,-,-,-,-,-,1,-,$1.00
AD9225,12,25 MSPS,1,Pipelined,-,-,383 mW,-40 to +85,"Diff-Uni, SE-Uni",0.4,-,$14.47
AD9224,12,40 MSPS,1,Pipelined,-,-,450 mW,-40 to +85,"Diff-Uni, SE-Uni",0.33,-,$12.19
AD9051,10,60 MSPS,1,Pipelined,0.75,-,315 mW,-40 to +85,Diff-Uni,0.75,-,$6.96
AD7863,14,175 kSPS,4,SAR,2,-,52.5 mW,-40 to +85,"SE-Bip, SE-Uni",2,-,$14.67
AD7856,14,285 kSPS,8,SAR,2,-,89.25 mW,-40 to +85,SE-Uni,2,-,$10.02
AD7723,16,1.2 MSPS,1,Sigma-Delta,2.03,-,475 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.52,-,$27.24
AD7706,16,500 SPS,3,Sigma-Delta,0.13,-,6.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$4.30
AD7705,16,500 SPS,2,Sigma-Delta,0.13,-,6.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$4.17
AD6600,11,20 MSPS,2,Pipelined,-,-,976 mW,-40 to +85,Diff-Uni,-,-,$40.91
AD9281,8,28 MSPS,2,Pipelined,-,-,260 mW,-40 to +85,"Diff-Uni, SE-Uni",0.1,-,$3.91
AD9260,16,2.5 MSPS,1,Sigma-Delta,-,-,637 mW,-40 to +85,Diff-Uni,0.52,-,$44.42
AD9201,10,20 MSPS,2,Pipelined,1.2,-,245 mW,-40 to +85,"Diff-Uni, SE-Uni",0.4,-,$5.01
AD7864,12,520 kSPS,4,SAR,0.5,-,120 mW,-40 to +85,"SE-Bip, SE-Uni",0.9,-,$13.81
AD7817,10,100 kSPS,5,-,1,-,-,-,-,1,-,$4.21
AD7730L,24,600 SPS,2,Sigma-Delta,-,-,32.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",-,-,$10.85
AD7339,8,2 MSPS,1,SAR,-,-,225 mW,-40 to +85,SE-Uni,-,-,$7.94
AD6640,12,65 MSPS,1,Pipelined,1.25,-,865 mW,-40 to +85,Diff-Uni,0.5,-,$39.49
AD9054AS,8,200 MSPS,1,Other,-,-,781 mW,-55 to +125,Diff-Bip,-,-,-
AD7825,8,2 MSPS,4,Pipelined,0.75,-,36 mW,-40 to +85,SE-Uni,0.75,-,$4.22
AD7822,8,2 MSPS,1,Pipelined,0.75,-,60 mW,-40 to +85,SE-Uni,0.75,-,$4.04
AD7812,10,350 kSPS,8,SAR,1,-,10.5 mW,-40 to +105,"Diff-Uni, SE-Uni",1,-,$3.34
AD7811,10,350 kSPS,4,SAR,1,-,10.5 mW,-40 to +105,"Diff-Uni, SE-Uni",1,-,$3.60
AD7731,24,6.4 kSPS,3,Sigma-Delta,-,-,67.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.06,-,$10.28
AD7720,16,12.5 MSPS,1,Sigma-Delta Modulator,2.03,-,215 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.98,-,$10.38
AD977A,16,200 kSPS,1,SAR,-,-,100 mW,-40 to +85,"SE-Bip, SE-Uni",1.77,-,$22.03
AD977,16,100 kSPS,1,SAR,-,-,100 mW,-40 to +85,"SE-Bip, SE-Uni",1.75,-,$14.91
AD9280,8,32 MSPS,1,Pipelined,-,-,110 mW,-40 to +85,"Diff-Uni, SE-Uni",0.2,-,$2.18
AD7819,8,200 kSPS,1,SAR,0.5,-,17.5 mW,-40 to +105,SE-Uni,0.5,-,$2.29
AD7813,10,400 kSPS,1,SAR,1,-,17.5 mW,-40 to +105,SE-Uni,1,-,$3.49
AD7730,24,1.2 kSPS,2,Sigma-Delta,-,-,65 mW,-40 to +85,"Diff-Bip, Diff-Uni, SE-Uni",0.0596,-,$9.98
AD9241,14,1.25 MSPS,1,Pipelined,-,-,85 mW,-40 to +85,"Diff-Uni, SE-Uni",0.61,-,$9.46
AD9240,14,10 MSPS,1,Pipelined,-,-,330 mW,-40 to +85,"Diff-Uni, SE-Uni",0.61,-,$18.37
AD9200,10,20 MSPS,1,Pipelined,0.75,-,100 mW,-40 to +85,"Diff-Uni, SE-Uni, Usr-Defined Range/Offset",0.5,-,$2.53
AD7823,8,200 kSPS,1,SAR,0.5,-,17.5 mW,-40 to +125,Diff-Uni,0.5,-,$2.68
AD7810,10,350 kSPS,1,SAR,1,-,17.5 mW,-40 to +105,Diff-Uni,1,-,$3.19
AD976A,16,200 kSPS,1,SAR,-,-,100 mW,-40 to +85,"SE-Bip, SE-Uni",1.77,-,$25.17
AD976,16,100 kSPS,1,SAR,-,-,100 mW,-40 to +85,SE-Bip,1.77,-,$14.91
AD9243,14,3 MSPS,1,Pipelined,-,-,145 mW,-40 to +85,"Diff-Uni, SE-Uni",0.61,-,$11.69
AD7895,12,192 kSPS,1,SAR,1,-,20 mW,-40 to +125,"SE-Bip, SE-Uni",1,-,$5.01
AD7862,12,250 kSPS,4,SAR,1,-,75 mW,-40 to +85,"SE-Bip, SE-Uni",1,-,$11.13
AD7851,14,333 kSPS,1,SAR,-,-,89.3 mW,-40 to +85,Diff-Uni,-,-,-
AD7722,16,195.3 kSPS,1,Sigma-Delta,0.13,-,375 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.5,-,$17.20
AD9059,8,60 MSPS,2,Pipelined,0.75,-,505 mW,-40 to +85,SE-Uni,0.75,-,$13.23
AD9057-40,8,40 MSPS,1,Pipelined,-,-,192 mW,-40 to +85,SE-Uni,-,-,$2.56
AD10242,12,40 MSPS,2,Pipelined,-,-,2 W,-55 to +125,"SE-Bip, SE-Uni",1.25,-,-
AD9223,12,3 MSPS,1,Pipelined,-,-,130 mW,-40 to +85,"Diff-Uni, SE-Uni",0.3,-,$7.74
AD9221,12,1.5 MSPS,1,Pipelined,-,-,70 mW,-40 to +85,"Diff-Uni, SE-Uni",0.3,-,$7.74
AD7854,12,200 kSPS,1,SAR,-,-,30 mW,-55 to +125,"Diff-Uni, SE-Uni",-,-,-
AD7859-200,12,200 kSPS,8,SAR,-,-,30 mW,-40 to +85,"SE-Bip, SE-Uni",-,-,-
AD7721,16,468.75 kSPS,1,Sigma-Delta,1.05,-,150 mW,-40 to +85,"Diff-Bip, Diff-Uni",0.52,-,$12.22
AD9220,12,10 MSPS,1,Pipelined,-,-,310 mW,-40 to +85,"Diff-Uni, SE-Uni",0.3,-,$6.12
AD9042S,12,-,1,-,-,-,-,-55 to +125,-,-,-,-
AD7891,12,500 kSPS,8,SAR,0.75,-,100 mW,-40 to +105,"SE-Bip, SE-Uni",1,-,$14.93
AD7861,11,28.6 kSPS,7,SAR,2,-,50 mW,-40 to +85,SE-Uni,2.5,-,$15.56
AD7858-200,12,200 kSPS,8,SAR,-,-,33 mW,-40 to +85,SE-Uni,-,-,-
AD7853A/B,12,200 kSPS,1,SAR,-,-,33 mW,-40 to +85,"Diff-Uni, SE-Uni",-,-,-
AD7715,16,500 SPS,1,Sigma-Delta,-,-,9.5 mW,-40 to +85,"Diff-Bip, Diff-Uni",1,-,$5.89
AD876,10,20 MSPS,1,Pipelined,1,-,190 mW,-40 to +85,SE-Uni,0.75,-,$3.83
AD7896,12,100 kSPS,1,SAR,0.5,-,10.8 mW,-55 to +125,SE-Uni,1,-,$5.00
AD7714,24,1 kSPS,5,Sigma-Delta,251.66,-,7 mW,-40 to +105,"Diff-Bip, Diff-Uni",0.0596,-,$8.38
AD7892-1-500,12,500 kSPS,1,SAR,-,-,90 mW,-40 to +85,SE-Bip,-,-,-
AD7716,22,2.2 kSPS,4,Sigma-Delta,-,-,50 mW,-40 to +85,SE-Bip,0.477,-,$34.43
AD7890,12,117 kSPS,8,SAR,0.5,-,50 mW,-55 to +125,"SE-Bip, SE-Uni",1,-,$10.32
AD7893,12,117 kSPS,1,SAR,0.5,-,45 mW,-55 to +125,"SE-Bip, SE-Uni",1,-,$10.02
