AVG,G,VORP,oppOBP,AB,oppSLG,SLG,LG,oppTAv,LVL
0.333,3,0.5,0.303,9,0.385,0.778,AL,0.255,MLB
0.4,2,-0.2,0.327,10,0.364,0.5,NL,0.269,MLB
0.177,54,3.2,0.32,198,0.409,0.247,NL,0.267,MLB
0.245,17,10.3,0.305,404,0.374,0.366,NL,0.256,MLB
0.235,32,4.3,0.306,705,0.383,0.359,NL,0.258,MLB
0.714,2,-0.7,0.333,7,0.395,1.0,NL,0.268,MLB
0.247,26,-0.5,0.302,578,0.378,0.349,NL,0.255,MLB
0.248,32,3.9,0.305,714,0.372,0.371,NL,0.257,MLB
0.27,28,0.8,0.319,126,0.388,0.421,AL,0.263,MLB
0.318,10,-0.4,0.307,236,0.377,0.555,NL,0.257,MLB
0.268,34,-2.9,0.318,123,0.388,0.52,AL,0.266,MLB
0.257,32,40.2,0.314,766,0.393,0.358,AL,0.261,MLB
0.423,3,0.8,0.304,26,0.387,0.731,AL,0.264,MLB
0.31,6,1.8,0.309,29,0.383,0.379,NL,0.253,MLB
0.233,43,0.1,0.309,313,0.386,0.358,AL,0.26,MLB
0.129,7,1.0,0.322,31,0.399,0.161,AL,0.266,MLB
