School Year,District Code,District Name,School Code,Grade Span,School Name,Total Enrollment,Low Income Enrollment,Poverty Percentage,School Eligibility,School Program Type,School Improvement Status,Allocation,Act_PPE
2007-08,52,SNAKE RIVER DISTRICT,0032,*9*10*11*12*,SNAKE RIVER HIGH SCHOOL,582,194,0.333333333333333,Not Eligible,Not Serving,Y,0,0
2007-08,52,SNAKE RIVER DISTRICT,0376,*3*,RIVERSIDE ELEMENTARY SCHOOL,146,85,0.582191780821918,Eligible,Targeted Assistance,N,54320,639
2007-08,52,SNAKE RIVER DISTRICT,0377,*K*1*2*,MORELAND ELEMENTARY SCHOOL,264,132,0.5,Eligible,Targeted Assistance,N,84355,639
2007-08,52,SNAKE RIVER DISTRICT,0378,*4*,ROCKFORD ELEMENTARY SCHOOL,121,64,0.528925619834711,Eligible,Targeted Assistance,N,40899,639
2007-08,52,SNAKE RIVER DISTRICT,0380,*5*6*,SNAKE RIVER MIDDLE SCHOOL,276,141,0.510869565217391,Eligible,Not Serving,N,0,0
2007-08,52,SNAKE RIVER DISTRICT,0539,*9*10*11*12*,Idaho Leadership Academy,90,0,0.0,Not Eligible,Not Serving,Y,0,0
2007-08,55,BLACKFOOT DISTRICT,0033,*7*8*,MOUNTAIN VIEW MIDDLE SCHOOL,611,374,0.612111292962357,Eligible,Not Serving,Y,0,0
2007-08,55,BLACKFOOT DISTRICT,0034,*9*10*11*12*,BLACKFOOT HIGH SCHOOL,1100,380,0.345454545454545,Not Eligible,Not Serving,Y,0,0
2007-08,55,BLACKFOOT DISTRICT,0237,*K*1*2*3*4*5*6*,BLACKFOOT COMMUNITY LEARNING,83,41,0.493975903614458,Eligible,Targeted Assistance,Y,23150,565
2007-08,55,BLACKFOOT DISTRICT,0381,*6*,BLACKFOOT SIXTH GRADE ELEM,278,144,0.517985611510791,Eligible,Targeted Assistance,Y,82449,573
2007-08,55,BLACKFOOT DISTRICT,0382,*1*2*3*4*5*,DONALD D. STALKER ELEMENTARY,299,229,0.765886287625418,Eligible,Schoolwide,Y,133000,581
2007-08,55,BLACKFOOT DISTRICT,0383,*K*,IRVING KINDERGARTEN CENTER,158,97,0.613924050632911,Eligible,Schoolwide,N,56300,580
2007-08,55,BLACKFOOT DISTRICT,0384,*1*2*3*4*5*,RIDGE CREST ELEMENTARY SCHOOL,373,223,0.597855227882037,Eligible,Schoolwide,N,129000,578
2007-08,55,BLACKFOOT DISTRICT,0385,*1*2*3*4*5*,WAPELLO ELEMENTARY SCHOOL,184,73,0.396739130434783,Eligible,Schoolwide,N,40458,554
2007-08,55,BLACKFOOT DISTRICT,0386,*1*2*3*4*5*,GROVELAND ELEMENTARY SCHOOL,271,157,0.579335793357934,Eligible,Schoolwide,Y,90200,575
2007-08,55,BLACKFOOT DISTRICT,0387,*K*1*2*3*4*5*6*,FORT HALL ELEMENTARY SCHOOL,122,121,0.991803278688525,Eligible,Schoolwide,Y,74100,612
2007-08,55,BLACKFOOT DISTRICT,0388,*1*2*3*4*5*,I T STODDARD ELEMENTARY SCHOOL,373,227,0.60857908847185,Eligible,Schoolwide,N,131523,579
2007-08,55,BLACKFOOT DISTRICT,9006,*9*10*11*12*,INDEPENDENCE ALTERNATE HIGH,114,61,0.535087719298246,Eligible,Targeted Assistance,Y,35000,574
2007-08,58,ABERDEEN DISTRICT,0036,*9*10*11*12*,ABERDEEN HIGH SCHOOL,251,114,0.454183266932271,Eligible,Not Serving,Y,0,0
2007-08,58,ABERDEEN DISTRICT,0298,*K*1*2*3*4*5*,ABERDEEN ELEMENTARY SCHOOL,439,240,0.546697038724374,Eligible,Targeted Assistance,Y,122597,511
2007-08,58,ABERDEEN DISTRICT,0299,*6*7*8*,ABERDEEN MIDDLE SCHOOL,203,138,0.679802955665025,Eligible,Targeted Assistance,Y,73088,530
2007-08,59,FIRTH DISTRICT,0038,*9*10*11*12*,FIRTH HIGH SCHOOL,245,122,0.497959183673469,Eligible,Targeted Assistance,N,0,0
2007-08,59,FIRTH DISTRICT,0155,*5*6*7*8*,FIRTH MIDDLE SCHOOL,235,124,0.527659574468085,Eligible,Schoolwide Planning,Y,32315,261
2007-08,59,FIRTH DISTRICT,0390,*K*1*2*3*4*,A W JOHNSON ELEMENTARY SCHOOL,300,200,0.666666666666667,Eligible,Schoolwide,N,57949,290
2007-08,60,SHELLEY JOINT DISTRICT,0035,*9*10*11*12*,SHELLEY SENIOR HIGH SCHOOL,507,208,0.41025641025641,Feeder Pattern,Not Serving,Y,0,0
2007-08,60,SHELLEY JOINT DISTRICT,0039,*6*7*8*,DONALD J HOBBS MIDDLE SCHOOL,507,208,0.41025641025641,Eligible,Schoolwide Planning,Y,30873,148
2007-08,60,SHELLEY JOINT DISTRICT,0391,*1*2*3*,SUNRISE ELEMENTARY SCHOOL,404,196,0.485148514851485,Eligible,Schoolwide Planning,N,76224,389
2007-08,60,SHELLEY JOINT DISTRICT,0392,*3*4*5*,HAZEL STUART ELEMENTARY SCHOOL,393,163,0.414758269720102,Eligible,Schoolwide Planning,N,62913,386
2007-08,61,BLAINE COUNTY DISTRICT,0042,*9*10*11*12*,WOOD RIVER HIGH SCHOOL,842,154,0.182897862232779,Not Eligible,Not Serving,Y,0,0
2007-08,61,BLAINE COUNTY DISTRICT,0197,*K*1*2*3*4*5*6*7*8*9*10*11*12*,CAREY PUBLIC SCHOOL,249,86,0.345381526104418,Eligible,Targeted Assistance,N,39951,465
2007-08,61,BLAINE COUNTY DISTRICT,0394,*K*1*2*3*4*5*,BELLEVUE ELEMENTARY SCHOOL,298,103,0.345637583892617,Eligible,Targeted Assistance,Y,48000,466
2007-08,61,BLAINE COUNTY DISTRICT,0395,*K*1*2*3*4*5*,ERNEST HEMINGWAY ELEMENTARY,390,79,0.202564102564103,Not Eligible,Not Serving,N,0,0
2007-08,61,BLAINE COUNTY DISTRICT,0396,*K*1*2*3*4*5*,HAILEY ELEMENTARY SCHOOL,392,99,0.252551020408163,Not Eligible,Not Serving,Y,0,0
2007-08,61,BLAINE COUNTY DISTRICT,0984,*6*7*8*,WOOD RIVER MIDDLE SCHOOL,672,206,0.306547619047619,Eligible,Not Serving,N,0,0
2007-08,61,BLAINE COUNTY DISTRICT,P055,*K*1*2*3*4*5*,WOODSIDE ELEMENTARY,346,194,0.560693641618497,Eligible,Targeted Assistance,N,102793,530
2007-08,71,GARDEN VALLEY DISTRICT,0274,*K*1*2*3*4*5*6*7*8*9*10*11*12*,GARDEN VALLEY SCHOOL,205,80,0.390243902439024,Eligible,Targeted Assistance,N,45939,574
2007-08,71,GARDEN VALLEY DISTRICT,0398,*K*1*2*3*4*5*6*7*8*,LOWMAN ELEMENTARY SCHOOL,10,2,0.2,Not Eligible,Not Serving,N,0,0
2007-08,72,BASIN SCHOOL DISTRICT,0159,*K*1*2*3*4*5*6*,BASIN ELEMENTARY SCHOOL,230,92,0.4,Eligible,Schoolwide Planning,N,67720,736
2007-08,72,BASIN SCHOOL DISTRICT,0183,*7*8*9*10*11*12*,IDAHO CITY HIGH SCHOOL,200,80,0.4,Eligible,Not Serving,Y,0,0
2007-08,73,HORSESHOE BEND SCHOOL DISTRICT,0256,*K*1*2*3*4*5*,HORSESHOE BEND ELEMENTARY,147,74,0.503401360544218,Eligible,Targeted Assistance,N,60325,815
2007-08,73,HORSESHOE BEND SCHOOL DISTRICT,0278,*6*7*8*9*10*11*12*,HORSESHOE BEND MIDDLE-SR HIGH SCHOOL,175,100,0.571428571428571,Eligible,Not Serving,Y,0,0
2007-08,83,WEST BONNER COUNTY DISTRICT,0044,*7*8*,PRIEST RIVER JR HIGH SCHOOL,232,126,0.543103448275862,Eligible,Not Serving,N,0,0
2007-08,83,WEST BONNER COUNTY DISTRICT,0048,*9*10*11*12*,PRIEST RIVER LAMANNA HIGH,461,241,0.522776572668113,Eligible,Not Serving,N,0,0
2007-08,83,WEST BONNER COUNTY DISTRICT,0406,*K*1*2*3*4*5*6*,PRIEST LAKE ELEMENTARY SCHOOL,58,41,0.706896551724138,Eligible,Targeted Assistance,N,27224,664
2007-08,83,WEST BONNER COUNTY DISTRICT,0407,*K*1*2*3*4*5*6*,PRIEST RIVER ELEMENTARY SCHOOL,615,370,0.601626016260163,Eligible,Schoolwide,N,193510,523
2007-08,83,WEST BONNER COUNTY DISTRICT,0411,*K*1*2*3*4*5*6*,IDAHO HILL ELEMENTARY SCHOOL,181,121,0.668508287292818,Eligible,Targeted Assistance,N,74536,616
2007-08,83,WEST BONNER COUNTY DISTRICT,1172,*9*10*11*12*,PRIEST RIVER EDUCATION (ALT),33,20,0.606060606060606,Eligible,Not Serving,N,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0047,*7*8*,SANDPOINT MIDDLE SCHOOL,494,220,0.445344129554656,Eligible,Not Serving,Y,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0049,*7*8*9*10*11*12*,CLARK FORK JR-SR HIGH SCHOOL,129,78,0.604651162790698,Eligible,Not Serving,N,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0202,*9*10*11*12*,SANDPOINT HIGH SCHOOL,613,258,0.420880913539967,Feeder Pattern,Not Serving,N,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0265,*6*7*8*,SANDPOINT CHARTER SCHOOL,119,38,0.319327731092437,Not Eligible,Not Serving,N,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0293,*K*1*2*3*4*5*6*,KOOTENAI ELEMENTARY SCHOOL,161,83,0.515527950310559,Eligible,Schoolwide,Y,46874,565
2007-08,84,LAKE PEND OREILLE DISTRICT,0401,*K*1*2*3*4*5*6*,HOPE ELEMENTARY SCHOOL,100,66,0.66,Eligible,Schoolwide,Y,38280,580
2007-08,84,LAKE PEND OREILLE DISTRICT,0402,*K*1*2*3*4*5*6*,SAGLE ELEMENTARY SCHOOL,372,175,0.470430107526882,Eligible,Not Serving,N,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0403,*K*1*2*3*4*5*6*,FARMIN STIDWELL ELEMENTARY SCH,611,372,0.608837970540098,Eligible,Schoolwide,Y,215016,578
2007-08,84,LAKE PEND OREILLE DISTRICT,0405,*K*1*2*3*4*5*6*,SOUTHSIDE ELEMENTARY SCHOOL,188,98,0.521276595744681,Eligible,Schoolwide,N,52080,531
2007-08,84,LAKE PEND OREILLE DISTRICT,0408,*K*1*2*3*4*5*6*,WASHINGTON ELEMENTARY SCHOOL,297,125,0.420875420875421,Eligible,Not Serving,N,0,0
2007-08,84,LAKE PEND OREILLE DISTRICT,0410,*K*1*2*3*4*5*6*,NORTHSIDE ELEMENTARY SCHOOL,163,83,0.50920245398773,Eligible,Schoolwide,N,46812,564
2007-08,84,LAKE PEND OREILLE DISTRICT,1045,*7*8*9*10*11*12*,LAKE PEND OREILLE ALT HIGH SCH,137,116,0.846715328467153,Eligible,Schoolwide,Y,69605,600
2007-08,91,IDAHO FALLS DISTRICT,0050,*7*8*9*,EAGLE ROCK JUNIOR HIGH SCHOOL,859,290,0.337601862630966,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0051,*7*8*9*,CLAIR E. GALE JR HIGH SCHOOL,665,337,0.506766917293233,Eligible,Targeted Assistance,Y,176000,522
2007-08,91,IDAHO FALLS DISTRICT,0053,*10*11*12*,SKYLINE SENIOR HIGH SCHOOL,1038,255,0.245664739884393,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0054,*10*11*12*,IDAHO FALLS SENIOR HIGH SCHOOL,1212,177,0.146039603960396,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0199,*7*8*9*,TAYLORVIEW JUNIOR HIGH SCHOOL,854,234,0.274004683840749,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0412,*K*1*2*3*4*5*6*,LONGFELLOW ELEMENTARY SCHOOL,485,76,0.156701030927835,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0413,*K*1*2*3*4*5*6*,HAWTHORNE ELEMENTARY SCHOOL,263,189,0.718631178707224,Eligible,Schoolwide,N,98590,522
2007-08,91,IDAHO FALLS DISTRICT,0414,*K*1*2*3*4*5*6*,TEMPLE VIEW ELEMENTARY SCHOOL,511,212,0.414872798434442,Eligible,Targeted Assistance,Y,109981,519
2007-08,91,IDAHO FALLS DISTRICT,0415,*K*1*2*3*4*5*6*,A H BUSH ELEMENTARY SCHOOL,433,318,0.734411085450346,Eligible,Schoolwide,Y,166090,522
2007-08,91,IDAHO FALLS DISTRICT,0416,*K*1*2*3*4*5*6*,EDGEMONT GARDENS ELEMENTARY,449,138,0.307349665924276,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0419,*K*1*2*3*4*5*6*,THERESA BUNKER ELEMENTARY,274,157,0.572992700729927,Eligible,Schoolwide,Y,81900,522
2007-08,91,IDAHO FALLS DISTRICT,0420,*K*1*2*3*4*5*6*,ETHEL BOYES ELEMENTARY SCHOOL,349,171,0.489971346704871,Eligible,Targeted Assistance,N,89340,522
2007-08,91,IDAHO FALLS DISTRICT,0421,*K*1*2*3*4*5*6*,WESTSIDE ELEMENTARY SCHOOL,478,166,0.347280334728033,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,0422,*K*1*2*3*4*5*6*,DORA ERICKSON ELEM SCHOOL,427,340,0.796252927400468,Eligible,Schoolwide,Y,178866,526
2007-08,91,IDAHO FALLS DISTRICT,0423,*K*1*2*3*4*5*6*,LINDEN PARK ELEMENTARY SCHOOL,514,284,0.552529182879377,Eligible,Targeted Assistance,Y,148200,522
2007-08,91,IDAHO FALLS DISTRICT,0667,*K*1*2*3*4*5*6*,FOXHOLLOW ELEMENTARY SCHOOL,454,196,0.431718061674009,Eligible,Targeted Assistance,Y,102034,521
2007-08,91,IDAHO FALLS DISTRICT,0668,*K*1*2*3*4*5*6*,SUNNYSIDE ELEMENTARY SCHOOL,497,28,0.0563380281690141,Not Eligible,Not Serving,N,0,0
2007-08,91,IDAHO FALLS DISTRICT,1048,*10*11*12*,EMERSON ALTERNATIVE HIGH SCHOOL,117,83,0.709401709401709,Not Eligible,Not Serving,N,0,0
2007-08,92,SWAN VALLEY ELEMENTARY DIST,0424,*K*1*2*3*4*5*6*7*8*,SWAN VALLEY ELEMENTARY SCHOOL,55,26,0.472727272727273,Eligible,Targeted Assistance,N,11014,424
2007-08,93,BONNEVILLE JOINT DISTRICT,0055,*7*8*,SANDCREEK MIDDLE SCHOOL,615,149,0.242276422764228,Not Eligible,Not Serving,Y,0,0
2007-08,93,BONNEVILLE JOINT DISTRICT,0056,*9*10*11*12*,BONNEVILLE HIGH SCHOOL,1072,334,0.311567164179104,Not Eligible,Not Serving,N,0,0
2007-08,93,BONNEVILLE JOINT DISTRICT,0200,*9*10*11*12*,HILLCREST HIGH SCHOOL,1201,196,0.163197335553705,Not Eligible,Not Serving,Y,0,0
2007-08,93,BONNEVILLE JOINT DISTRICT,0219,*7*8*,ROCKY MOUNTAIN MIDDLE SCHOOL,605,288,0.47603305785124,Eligible,Targeted Assistance,Y,63647,221
2007-08,93,BONNEVILLE JOINT DISTRICT,0425,*K*1*2*3*4*5*6*,FALLS VALLEY ELEMENTARY SCHOOL,551,273,0.49546279491833,Eligible,Targeted Assistance,N,78697,288
2007-08,93,BONNEVILLE JOINT DISTRICT,0426,*K*1*2*3*4*5*6*,AMMON ELEMENTARY SCHOOL,360,152,0.422222222222222,Eligible,Targeted Assistance,N,33434,220
2007-08,93,BONNEVILLE JOINT DISTRICT,0427,*K*1*2*3*4*5*6*,IONA ELEMENTARY SCHOOL,607,314,0.517298187808896,Eligible,Targeted Assistance,N,98604,314
2007-08,93,BONNEVILLE JOINT DISTRICT,0428,*K*1*2*3*4*5*6*,HILLVIEW ELEMENTARY SCHOOL,507,171,0.337278106508876,Not Eligible,Not Serving,N,0,0
2007-08,93,BONNEVILLE JOINT DISTRICT,0429,*K*1*2*3*4*5*6*,UCON ELEMENTARY SCHOOL,460,183,0.397826086956522,Eligible,Targeted Assistance,N,39799,217
2007-08,93,BONNEVILLE JOINT DISTRICT,0431,*K*1*2*3*4*5*6*,CLOVERDALE ELEMENTARY SCHOOL,495,283,0.571717171717172,Eligible,Targeted Assistance,N,105896,374
2007-08,93,BONNEVILLE JOINT DISTRICT,0432,*K*1*2*3*4*5*6*,FAIRVIEW ELEMENTARY SCHOOL,296,155,0.523648648648649,Eligible,Targeted Assistance,N,54550,352
2007-08,93,BONNEVILLE JOINT DISTRICT,0501,*K*1*2*3*4*5*6*,TIEBREAKER ELEMENTARY SCHOOL,549,285,0.519125683060109,Eligible,Targeted Assistance,Y,94658,332
2007-08,93,BONNEVILLE JOINT DISTRICT,1053,*9*10*11*12*,LINCOLN HIGH SCHOOL (ALT),167,118,0.706586826347305,Eligible,Not Serving,Y,0,0
2007-08,93,BONNEVILLE JOINT DISTRICT,1159,*6*7*8*,TELFORD ACADEMY (ALT),29,21,0.724137931034483,Eligible,Targeted Assistance,Y,16521,787
2007-08,93,BONNEVILLE JOINT DISTRICT,P056,*K*1*2*3*4*5*6*,RIMROCK ELEMENTARY,427,96,0.224824355971897,Not Eligible,Not Serving,N,0,0
2007-08,93,BONNEVILLE JOINT DISTRICT,P057,*K*1*2*3*4*5*6*,WOODLAND HILLS ELEMENTARY,500,87,0.174,Not Eligible,Not Serving,N,0,0
2007-08,101,BOUNDARY COUNTY DISTRICT,0057,*9*10*11*12*,BONNERS FERRY HIGH SCHOOL,480,184,0.383333333333333,Eligible,Not Serving,N,0,0
2007-08,101,BOUNDARY COUNTY DISTRICT,0201,*6*7*8*,BOUNDARY COUNTY JR HIGH SCHOOL,390,225,0.576923076923077,Eligible,Not Serving,N,0,0
2007-08,101,BOUNDARY COUNTY DISTRICT,0433,*K*1*2*3*4*5*,NAPLES ELEMENTARY SCHOOL,126,87,0.69047619047619,Eligible,Schoolwide,N,67512,776
2007-08,101,BOUNDARY COUNTY DISTRICT,0434,*K*1*2*3*4*5*6*,MOUNT HALL ELEMENTARY SCHOOL,175,125,0.714285714285714,Eligible,Targeted Assistance,N,97750,782
2007-08,101,BOUNDARY COUNTY DISTRICT,0435,*K*1*2*3*4*5*,EVERGREEN ELEMENTARY SCHOOL,74,43,0.581081081081081,Eligible,Targeted Assistance,N,19668,457
2007-08,101,BOUNDARY COUNTY DISTRICT,0437,*K*1*2*3*4*5*,VALLEY VIEW ELEMENTARY SCHOOL,310,190,0.612903225806452,Eligible,Targeted Assistance,N,135943,715
2007-08,101,BOUNDARY COUNTY DISTRICT,1162,*9*10*11*12*,RIVERSIDE ALTERNATIVE SCHOOL,29,24,0.827586206896552,Eligible,Schoolwide,N,20363,848
2007-08,111,BUTTE COUNTY JOINT DISTRICT,0058,*6*7*8*,BUTTE COUNTY MIDDLE SCHOOL,150,81,0.54,Eligible,Schoolwide,N,39562,488
2007-08,111,BUTTE COUNTY JOINT DISTRICT,0059,*9*10*11*12*,BUTTE COUNTY HIGH SCHOOL,133,72,0.541353383458647,Eligible,Not Serving,N,0,0
2007-08,111,BUTTE COUNTY JOINT DISTRICT,0438,*K*1*2*3*4*5*,HOWE ELEMENTARY SCHOOL,32,16,0.5,Eligible,Schoolwide,N,7386,462
2007-08,111,BUTTE COUNTY JOINT DISTRICT,0439,*K*1*2*3*4*5*,ARCO ELEMENTARY SCHOOL,160,102,0.6375,Eligible,Schoolwide,N,54589,535
2007-08,121,CAMAS COUNTY DISTRICT,0060,*9*10*11*12*,CAMAS COUNTY HIGH SCHOOL,63,27,0.428571428571429,Feeder Pattern,Targeted Assistance,N,3641,135
2007-08,121,CAMAS COUNTY DISTRICT,0440,*K*1*2*3*4*5*6*7*8*,CAMAS COUNTY ELEM-JR HIGH SCH,100,44,0.44,Eligible,Targeted Assistance,N,7019,160
2007-08,131,NAMPA SCHOOL DISTRICT,0061,*6*7*8*,WEST MIDDLE SCHOOL,1089,625,0.573921028466483,Eligible,Schoolwide Planning,Y,177302,284
2007-08,131,NAMPA SCHOOL DISTRICT,0062,*6*7*8*,SOUTH MIDDLE SCHOOL,1090,457,0.419266055045872,Eligible,Schoolwide Planning,N,85287,187
2007-08,131,NAMPA SCHOOL DISTRICT,0213,*K*1*2*3*4*5*,IOWA ELEMENTARY,529,294,0.555765595463138,Eligible,Schoolwide Planning,Y,83403,284
2007-08,131,NAMPA SCHOOL DISTRICT,0214,*K*1*2*3*4*5*,SHERMAN ELEMENTARY,499,352,0.705410821643287,Eligible,Schoolwide Planning,Y,99856,284
2007-08,131,NAMPA SCHOOL DISTRICT,0215,*K*1*2*3*4*5*,PARK RIDGE ELEMENTARY,417,251,0.601918465227818,Eligible,Schoolwide Planning,N,71204,284
2007-08,131,NAMPA SCHOOL DISTRICT,0442,*K*1*2*3*4*5*,LINCOLN ELEMENTARY SCHOOL,308,241,0.782467532467532,Eligible,Schoolwide Planning,Y,68368,284
2007-08,131,NAMPA SCHOOL DISTRICT,0443,*K*1*2*3*4*5*,SUNNY RIDGE ELEMENTARY SCHOOL,419,168,0.400954653937947,Eligible,Not Serving,N,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0444,*K*1*2*3*4*5*,CENTENNIAL ELEMENTARY SCHOOL,310,181,0.583870967741935,Eligible,Schoolwide Planning,N,51347,284
2007-08,131,NAMPA SCHOOL DISTRICT,0447,*K*1*2*3*4*5*,CENTRAL ELEMENTARY,308,255,0.827922077922078,Eligible,Schoolwide Planning,N,72339,284
2007-08,131,NAMPA SCHOOL DISTRICT,0450,*K*1*2*3*4*5*,GREENHURST ELEMENTARY SCHOOL,576,204,0.354166666666667,Eligible,Not Serving,Y,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0527,*K*1*2*3*4*5*,OWYHEE ELEMENTARY SCHOOL,626,243,0.388178913738019,Eligible,Not Serving,Y,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0528,*K*1*2*3*4*5*,REAGAN ELEMENTARY SCHOOL,446,162,0.36322869955157,Eligible,Not Serving,Y,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0529,*K*1*2*3*4*5*,ROOSEVELT ELEMENTARY SCHOOL,421,205,0.486935866983373,Eligible,Schoolwide Planning,Y,58155,284
2007-08,131,NAMPA SCHOOL DISTRICT,0577,*K*1*2*3*4*5*6*7*8*9*10*11*,IDAHO ARTS CHARTER SCHOOL,480,187,0.389583333333333,Eligible,Not Serving,N,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0581,*K*1*2*3*4*5*,Willow Creek Elementary School,548,311,0.567518248175182,Eligible,Schoolwide Planning,Y,88225,284
2007-08,131,NAMPA SCHOOL DISTRICT,0638,*9*10*11*12*,COLUMBIA HIGH SCHOOL,1336,405,0.30314371257485,Feeder Pattern,Not Serving,N,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0890,*K*1*2*3*4*5*,ENDEAVOR ELEMENTARY,460,302,0.656521739130435,Eligible,Targeted Assistance,N,85672,284
2007-08,131,NAMPA SCHOOL DISTRICT,0994,*9*10*11*12*,SKYVIEW HIGH SCHOOL,1244,434,0.34887459807074,Feeder Pattern,Not Serving,Y,0,0
2007-08,131,NAMPA SCHOOL DISTRICT,0996,*K*1*2*3*4*5*,SNAKE RIVER ELEMENTARY,347,290,0.835734870317003,Eligible,Schoolwide Planning,Y,82268,284
2007-08,131,NAMPA SCHOOL DISTRICT,0998,*9*10*11*12*,NAMPA SENIOR HIGH SCHOOL,1417,621,0.438249823570925,Eligible,Schoolwide Planning,Y,176167,284
2007-08,131,NAMPA SCHOOL DISTRICT,1109,*6*7*8*,East Valley Middle School,1132,574,0.507067137809187,Eligible,Schoolwide Planning,Y,162834,284
2007-08,132,CALDWELL DISTRICT,0064,*6*7*,JEFFERSON MIDDLE SCHOOL,496,324,0.653225806451613,Eligible,Schoolwide,Y,171988,531
2007-08,132,CALDWELL DISTRICT,0065,*9*10*11*12*,CALDWELL SENIOR HIGH SCHOOL,1606,926,0.576587795765878,Eligible,Not Serving,Y,0,0
2007-08,132,CALDWELL DISTRICT,0076,*K*1*2*3*4*5*,Lewis and Clark Elementary,539,395,0.732838589981447,Eligible,Schoolwide,N,209677,531
2007-08,132,CALDWELL DISTRICT,0281,*6*7*,SYRINGA MIDDLE SCHOOL,449,356,0.792873051224944,Eligible,Schoolwide,Y,188975,531
2007-08,132,CALDWELL DISTRICT,0289,*K*1*2*3*4*5*,WILSON ELEMENTARY SCHOOL,566,336,0.593639575971731,Eligible,Schoolwide,N,80203,239
2007-08,132,CALDWELL DISTRICT,0448,*K*1*2*3*4*5*,WASHINGTON ELEMENTARY SCHOOL,531,426,0.80225988700565,Eligible,Schoolwide,Y,226133,531
2007-08,132,CALDWELL DISTRICT,0449,*K*1*2*3*4*5*,LINCOLN ELEMENTARY SCHOOL,466,318,0.682403433476395,Eligible,Schoolwide,Y,168803,531
2007-08,132,CALDWELL DISTRICT,0451,*K*1*2*3*4*5*,VAN BUREN ELEMENTARY SCHOOL,533,475,0.891181988742964,Eligible,Schoolwide,Y,252143,531
2007-08,132,CALDWELL DISTRICT,0457,*K*1*2*3*4*5*,SACAJAWEA ELEMENTARY SCHOOL,545,445,0.81651376146789,Eligible,Schoolwide,Y,236218,531
2007-08,133,WILDER DISTRICT,0233,*6*7*8*9*10*11*12*,WILDER MIDDLE/HIGH SCHOOL,210,195,0.928571428571429,Eligible,Schoolwide,Y,128459,659
2007-08,133,WILDER DISTRICT,0452,*K*1*2*3*4*5*,WILDER ELEMENTARY SCHOOL,215,200,0.930232558139535,Eligible,Schoolwide,Y,155193,776
2007-08,134,MIDDLETON DISTRICT,0067,*6*7*8*,MIDDLETON MIDDLE SCHOOL,670,298,0.444776119402985,Eligible,Not Serving,Y,0,0
2007-08,134,MIDDLETON DISTRICT,0068,*9*10*11*12*,MIDDLETON HIGH SCHOOL,736,253,0.34375,Not Eligible,Not Serving,Y,0,0
2007-08,134,MIDDLETON DISTRICT,0453,*K*1*2*3*4*5*,MIDDLETON MILL CREEK ELEMENTAR,579,212,0.366148531951641,Eligible,Targeted Assistance,N,96961,457
2007-08,134,MIDDLETON DISTRICT,0500,*K*1*2*3*4*5*,MIDDLETON HEIGHTS ELEMENTARY,382,181,0.473821989528796,Eligible,Schoolwide,N,121241,670
2007-08,134,MIDDLETON DISTRICT,0546,*K*1*2*3*4*5*,Purple Sage Elementary School,400,160,0.4,Eligible,Targeted Assistance,N,96458,603
2007-08,134,MIDDLETON DISTRICT,1168,*9*10*,MIDDLETON TRANSITION SCHOOL,22,16,0.727272727272727,Eligible,Not Serving,N,0,0
2007-08,135,NOTUS DISTRICT,0234,*7*8*9*10*11*12*,NOTUS JR-SR HIGH SCHOOL,170,88,0.517647058823529,Eligible,Schoolwide,Y,0,0
2007-08,135,NOTUS DISTRICT,0520,*K*1*2*3*4*5*6*,NOTUS ELEMENTARY SCHOOL,156,93,0.596153846153846,Eligible,Schoolwide,N,67434,725
2007-08,136,MELBA JOINT DISTRICT,0070,*9*10*11*12*,MELBA HIGH SCHOOL,246,80,0.32520325203252,Not Eligible,Not Serving,N,0,0
2007-08,136,MELBA JOINT DISTRICT,0211,*6*7*8*,MELBA MIDDLE SCHOOL,182,78,0.428571428571429,Eligible,Not Serving,N,0,0
2007-08,136,MELBA JOINT DISTRICT,0455,*K*1*2*3*4*5*,MELBA ELEMENTARY SCHOOL,322,152,0.472049689440994,Eligible,Targeted Assistance,N,92386,608
2007-08,137,PARMA DISTRICT,0072,*9*10*11*12*,PARMA HIGH SCHOOL,318,175,0.550314465408805,Eligible,Not Serving,N,0,0
