Month,CAN Truck,CAN Rail,CAN Pipeline,MEX Truck,MEX Rail,MEX Pipeline,Canada TRUCK (billions),Canada RAIL (billions),Canada PIPELINE (billions),Mexico TRUCK (billions),Mexico RAIL (billions),Mexico PIPELINE (billions)
May-08,"29,120,472,469","8,522,520,150","7,584,412,780","20,077,724,897","4,161,982,053","160,209,876",29.12,8.523,7.584,20.078,4.162,0.16
Jun-08,"29,192,973,730","8,548,496,799","8,006,918,081","20,085,930,366","4,251,833,658","88,509,629",29.193,8.548,8.007,20.086,4.252,0.089
Jul-08,"26,574,209,657","8,022,347,328","9,003,447,913","20,225,809,332","3,556,409,258","159,655,342",26.574,8.022,9.003,20.226,3.556,0.16
Aug-08,"26,469,492,161","8,909,638,730","8,417,354,256","20,367,216,449","4,156,166,411","100,555,445",26.469,8.91,8.417,20.367,4.156,0.101
Sep-08,"27,965,349,757","8,065,637,094","7,622,200,453","20,106,131,825","3,683,797,372","313,060,566",27.965,8.066,7.622,20.106,3.684,0.313
Oct-08,"26,818,755,469","7,809,467,707","6,985,147,835","22,321,569,778","4,657,351,327","106,567,381",26.819,7.809,6.985,22.322,4.657,0.107
Nov-08,"23,174,497,175","6,689,882,717","5,387,381,931","17,868,046,213","4,021,805,250","95,718,695",23.174,6.69,5.387,17.868,4.022,0.096
Dec-08,"20,534,560,985","5,162,273,562","4,594,478,000","16,083,793,769","3,110,831,481","50,554,447",20.535,5.162,4.594,16.084,3.111,0.051
Jan-09,"18,088,958,761","4,477,848,121","4,120,734,766","15,788,959,425","1,996,411,034","53,553,087",18.089,4.478,4.121,15.789,1.996,0.054
Feb-09,"19,056,865,685","4,538,888,934","3,735,589,710","15,122,652,391","2,401,613,228","49,373,256",19.057,4.539,3.736,15.123,2.402,0.049
Mar-09,"21,038,322,805","4,629,293,028","3,146,585,551","16,598,934,842","2,729,798,516","46,213,552",21.038,4.629,3.147,16.599,2.73,0.046
Apr-09,"19,769,171,679","4,662,618,679","3,284,901,500","16,158,816,856","2,702,556,784","53,365,931",19.769,4.663,3.285,16.159,2.703,0.053
May-09,"19,112,794,283","4,758,603,219","3,150,809,086","15,566,677,993","2,438,802,878","56,892,215",19.113,4.759,3.151,15.567,2.439,0.057
Jun-09,"20,031,447,102","4,794,605,004","3,911,220,163","16,782,956,454","2,284,866,909","68,374,645",20.031,4.795,3.911,16.783,2.285,0.068
Jul-09,"19,565,185,436","4,531,809,830","4,373,271,372","17,366,277,619","2,388,053,948","110,356,375",19.565,4.532,4.373,17.366,2.388,0.11
Aug-09,"20,934,278,735","5,372,792,728","4,214,920,675","17,510,192,022","3,051,899,719","61,960,759",20.934,5.373,4.215,17.51,3.052,0.062
Sep-09,"22,555,192,207","5,614,018,064","4,246,917,120","18,519,641,641","3,202,853,747","99,628,275",22.555,5.614,4.247,18.52,3.203,0.1
Oct-09,"23,534,268,550","5,881,571,667","4,338,902,127","20,441,038,424","3,792,002,367","116,422,571",23.534,5.882,4.339,20.441,3.792,0.116
Nov-09,"22,324,711,446","5,822,592,322","4,379,690,005","19,136,666,212","3,783,032,653","87,637,009",22.325,5.823,4.38,19.137,3.783,0.088
Dec-09,"21,612,274,513","5,946,124,176","5,358,482,531","18,211,106,135","3,821,554,185","139,362,429",21.612,5.946,5.358,18.211,3.822,0.139
Jan-10,"20,394,030,614","6,325,647,458","5,253,053,940","18,244,689,497","3,443,406,339","113,887,179",20.394,6.326,5.253,18.245,3.443,0.114
Feb-10, , , , , , , , , , , , 
Mar-10, , , , , , , , , , , , 
Apr-10, , , , , , , , , , , , 
